2021-07-01 09:29:19: == Sync Started by User Command
2021-07-01 09:30:53: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/logo.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/logo.png' (15,453)
2021-07-01 09:30:53: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/home-bg.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/home-bg.jpg' (829,283)
2021-07-01 09:30:53: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/logo.psd' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/logo.psd' (150,525)
2021-07-01 09:30:54: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/me.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/me.jpg' (24,455)
2021-07-01 09:30:55: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-2.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-2.jpg' (47,329)
2021-07-01 09:30:55: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-1.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-1.jpg' (16,649)
2021-07-01 09:30:56: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-3.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-3.jpg' (48,990)
2021-07-01 09:30:57: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-5.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-5.jpg' (59,003)
2021-07-01 09:30:57: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-4.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-4.jpg' (61,610)
2021-07-01 09:31:00: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-6.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-6.jpg' (49,184)
2021-07-01 09:31:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-details-2.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-details-2.jpg' (1,889,672)
2021-07-01 09:31:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/profil.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/profil.jpg' (54,672)
2021-07-01 09:31:26: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/slider.jpeg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/slider.jpeg' (137,579)
2021-07-01 09:31:26: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-details-3.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-details-3.jpg' (163,517)
2021-07-01 09:31:28: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/slider.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/slider.jpg' (50,771)
2021-07-01 09:31:29: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/about-hero.svg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/about-hero.svg' (46,285)
2021-07-01 09:31:30: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/ajax-loader.gif' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/ajax-loader.gif' (4,133)
2021-07-01 09:31:36: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/apple-icon.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/apple-icon.png' (4,018)
2021-07-01 09:31:36: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/banner_img_01.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/banner_img_01.jpg' (702,401)
2021-07-01 09:31:39: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/banner_img_02.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/banner_img_02.jpg' (43,659)
2021-07-01 09:31:40: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/banner_img_01.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/banner_img_01.png' (41,900)
2021-07-01 09:31:42: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/banner_img_03.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/banner_img_03.jpg' (84,063)
2021-07-01 09:31:42: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/brand_01.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/brand_01.png' (48,175)
2021-07-01 09:31:42: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-details-1.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-details-1.jpg' (2,217,728)
2021-07-01 09:31:43: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/brand_02.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/brand_02.png' (14,192)
2021-07-01 09:31:43: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/brand_03.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/brand_03.png' (78,677)
2021-07-01 09:31:44: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/brand_04.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/brand_04.png' (95,596)
2021-07-01 09:31:45: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/category_img_01.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/category_img_01.jpg' (40,874)
2021-07-01 09:31:45: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/category_img_02.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/category_img_02.jpg' (68,129)
2021-07-01 09:31:46: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/category_img_03.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/category_img_03.jpg' (154,420)
2021-07-01 09:31:46: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/favicon.ico' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/favicon.ico' (1,150)
2021-07-01 09:31:46: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/feature_prod_01.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/feature_prod_01.jpg' (17,920)
2021-07-01 09:31:47: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/feature_prod_02.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/feature_prod_02.jpg' (40,627)
2021-07-01 09:31:48: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/feature_prod_03.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/feature_prod_03.jpg' (23,931)
2021-07-01 09:31:48: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_01.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_01.jpg' (74,022)
2021-07-01 09:31:50: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/product_single_02.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/product_single_02.jpg' (82,069)
